"ticknumb","music","day1","day2","day3","change"
3614,"No Musical Affiliation",0.93,0.91,NA,NA
3620,"Crusty",2.5,2.44,NA,NA
3621,"Crusty",1.44,NA,NA,NA
3622,"Crusty",2.88,NA,NA,NA
3625,"Metaller",0.67,0.23,0.44,-0.23
3626,"No Musical Affiliation",1.85,0.35,NA,NA
3627,"No Musical Affiliation",1.21,0.79,NA,NA
3628,"No Musical Affiliation",1.06,0.76,0.7,-0.36
3629,"No Musical Affiliation",0.61,0.26,0.33,-0.28
3631,"Metaller",2,NA,NA,NA
3634,"Metaller",1.17,0.73,1.17,0
3635,"No Musical Affiliation",1.48,0.79,1.55,0.0700000000000001
3645,"No Musical Affiliation",1.55,NA,NA,NA
3646,"Metaller",3.29,NA,NA,NA
3647,"Crusty",1.47,NA,NA,NA
3648,"No Musical Affiliation",0.96,NA,NA,NA
3649,"No Musical Affiliation",1,1.11,1.2,0.2
3652,"Metaller",1.47,NA,NA,NA
3653,"Indie Kid",2.55,2.38,NA,NA
3654,"No Musical Affiliation",0.44,0.06,NA,NA
3655,"No Musical Affiliation",2.35,2.41,NA,NA
3656,"No Musical Affiliation",1.71,0.85,NA,NA
3659,"No Musical Affiliation",1.84,0.58,0.7,-1.14
3660,"Metaller",1.11,0.23,0.55,-0.56
3667,"No Musical Affiliation",1.38,NA,NA,NA
3669,"No Musical Affiliation",0.88,NA,NA,NA
3670,"Crusty",0.94,NA,NA,NA
3672,"Crusty",1.91,NA,NA,NA
3676,"No Musical Affiliation",2.76,NA,NA,NA
3677,"Crusty",1.55,0.32,0.47,-1.08
3678,"No Musical Affiliation",2.67,NA,NA,NA
3680,"Metaller",1.03,0.29,0.72,-0.31
3696,"Crusty",2.5,NA,NA,NA
3697,"No Musical Affiliation",1.64,NA,NA,NA
3698,"Metaller",2.26,NA,NA,NA
3709,"Crusty",2.14,NA,NA,NA
3710,"Crusty",0.52,NA,NA,NA
3711,"No Musical Affiliation",1.08,NA,NA,NA
3712,"No Musical Affiliation",1.69,NA,NA,NA
3713,"Metaller",2.73,NA,NA,NA
3714,"Crusty",1.91,NA,NA,NA
3715,"No Musical Affiliation",1.73,NA,NA,NA
3716,"Indie Kid",3.21,NA,NA,NA
3717,"Crusty",2.11,NA,NA,NA
3718,"No Musical Affiliation",2.05,NA,NA,NA
3719,"No Musical Affiliation",2.17,NA,NA,NA
3720,"No Musical Affiliation",2.17,NA,NA,NA
3721,"Metaller",2.3,NA,NA,NA
3722,"Indie Kid",2.56,NA,NA,NA
3723,"Metaller",2.11,0.41,0.47,-1.64
3724,"Metaller",1.7,NA,NA,NA
3725,"Crusty",1.23,NA,NA,NA
3726,"Crusty",3.2,NA,NA,NA
3727,"Crusty",2.02,NA,NA,NA
3728,"Crusty",2.64,NA,NA,NA
3729,"Crusty",2.52,0.14,NA,NA
3730,"No Musical Affiliation",1.61,NA,NA,NA
3731,"Metaller",1.5,1.2,0.91,-0.59
3734,"Indie Kid",1.15,0.45,0.44,-0.71
3736,"Crusty",1.82,NA,NA,NA
3753,"No Musical Affiliation",1.5,NA,NA,NA
3754,"Metaller",2.32,NA,NA,NA
3759,"No Musical Affiliation",2.92,NA,NA,NA
3764,"No Musical Affiliation",1.41,NA,NA,NA
3769,"Indie Kid",1.35,NA,NA,NA
3778,"Crusty",0.61,0.14,NA,NA
3779,"No Musical Affiliation",0.73,NA,NA,NA
3782,"No Musical Affiliation",2.23,1.88,NA,NA
3783,"No Musical Affiliation",1.32,0.91,NA,NA
3784,"No Musical Affiliation",2.94,1.79,NA,NA
3785,"No Musical Affiliation",1.61,NA,NA,NA
3786,"No Musical Affiliation",1,NA,NA,NA
3787,"Metaller",3.15,3,NA,NA
3788,"Indie Kid",2.88,NA,NA,NA
3791,"Metaller",2.09,1.21,NA,NA
3792,"No Musical Affiliation",1.32,1.7,2.29,0.97
3793,"Crusty",1.47,0.35,NA,NA
3794,"Metaller",1.61,NA,NA,NA
3796,"No Musical Affiliation",2.2,1.5,1.88,-0.32
3797,"Crusty",2.78,NA,NA,NA
3798,"No Musical Affiliation",2.06,NA,NA,NA
3799,"No Musical Affiliation",0.47,NA,NA,NA
3804,"Metaller",2.87,NA,NA,NA
3826,"Metaller",1.14,NA,NA,NA
3828,"No Musical Affiliation",3.32,3.21,NA,NA
3831,"Crusty",2.08,1.38,NA,NA
3836,"Metaller",2.38,2.5,NA,NA
3837,"Indie Kid",2.08,NA,NA,NA
3838,"No Musical Affiliation",1.85,NA,NA,NA
3840,"Metaller",1.38,NA,NA,NA
3844,"Metaller",1.14,NA,NA,NA
3846,"Crusty",1.58,NA,NA,NA
3849,"Metaller",1.23,0.7,1.02,-0.21
3850,"Indie Kid",2.53,NA,NA,NA
3851,"No Musical Affiliation",0.67,NA,NA,NA
3854,"Crusty",0.73,NA,NA,NA
3855,"No Musical Affiliation",1.34,NA,NA,NA
3856,"No Musical Affiliation",2.14,0.7,NA,NA
3857,"No Musical Affiliation",1,NA,NA,NA
3858,"No Musical Affiliation",1.35,NA,NA,NA
3859,"Crusty",1.94,0.79,NA,NA
3860,"Indie Kid",0.5,NA,NA,NA
3869,"Indie Kid",3.08,NA,NA,NA
3870,"No Musical Affiliation",2.88,NA,NA,NA
3871,"No Musical Affiliation",1.91,NA,NA,NA
3872,"No Musical Affiliation",1.41,NA,NA,NA
3873,"Crusty",2.02,NA,NA,NA
3874,"No Musical Affiliation",0.76,NA,NA,NA
3875,"Metaller",1.94,NA,NA,NA
3876,"No Musical Affiliation",0.67,0.28,NA,NA
3879,"Crusty",2.41,NA,NA,NA
3880,"Metaller",2.17,NA,NA,NA
3882,"Metaller",2.67,0.41,NA,NA
3883,"Crusty",1.94,0.64,NA,NA
3888,"Metaller",2.05,0.85,1.7,-0.35
3890,"Metaller",2.17,NA,NA,NA
3909,"No Musical Affiliation",0.47,NA,NA,NA
3912,"No Musical Affiliation",0.62,0.76,NA,NA
3913,"Crusty",2,NA,NA,NA
3914,"No Musical Affiliation",0.45,NA,NA,NA
3916,"Indie Kid",2.29,0.91,1.38,-0.91
3917,"Indie Kid",2.55,NA,NA,NA
3918,"Metaller",0.82,NA,NA,NA
3919,"No Musical Affiliation",3.12,2.2,NA,NA
3920,"Crusty",2.5,2.23,0.41,-2.09
3921,"Indie Kid",1.79,NA,NA,NA
3922,"No Musical Affiliation",2.28,NA,NA,NA
3923,"No Musical Affiliation",0.58,1.05,0.58,0
3924,"Metaller",2.5,1.29,NA,NA
3925,"Indie Kid",1.41,NA,NA,NA
3926,"Metaller",2.14,NA,NA,NA
3927,"No Musical Affiliation",0.76,0.26,NA,NA
3929,"Metaller",1.79,1.11,NA,NA
3930,"No Musical Affiliation",1.02,0.35,NA,NA
3932,"Metaller",2.62,NA,NA,NA
3942,"Crusty",0.88,NA,NA,NA
3944,"No Musical Affiliation",1.58,0.2,0.2,-1.38
3945,"No Musical Affiliation",2.2,NA,NA,NA
3946,"Crusty",1.14,NA,NA,NA
3947,"Metaller",1.47,0.52,0.35,-1.12
3948,"Metaller",1.41,0.23,0.38,-1.03
3949,"No Musical Affiliation",1.44,1.76,1.18,-0.26
3950,"Metaller",1.23,1.17,NA,NA
3951,"No Musical Affiliation",1.82,NA,NA,NA
3952,"No Musical Affiliation",2.44,NA,NA,NA
3954,"Metaller",1.94,1.2,NA,NA
3955,"Metaller",2.41,NA,NA,NA
3964,"Crusty",2.27,NA,NA,NA
3965,"No Musical Affiliation",1.79,0.23,NA,NA
3966,"Metaller",1.88,NA,NA,NA
3972,"Crusty",1.85,0.64,1.32,-0.53
3973,"Indie Kid",2.21,NA,NA,NA
3986,"No Musical Affiliation",1.97,1.94,NA,NA
3987,"Crusty",2.51,NA,NA,NA
3988,"Metaller",2.05,NA,NA,NA
3989,"Metaller",1.29,1,0.82,-0.47
3990,"Indie Kid",2.05,NA,NA,NA
3991,"No Musical Affiliation",2.23,NA,NA,NA
3992,"No Musical Affiliation",1.76,NA,NA,NA
3993,"No Musical Affiliation",1.05,NA,NA,NA
3994,"Crusty",1.79,NA,NA,NA
3995,"Metaller",1.02,0.73,0.47,-0.55
3996,"Crusty",2.76,1.58,NA,NA
3997,"Crusty",1.67,0.55,NA,NA
4010,"Crusty",2.85,NA,NA,NA
4011,"Metaller",0.23,0.84,NA,NA
4012,"No Musical Affiliation",1.9,NA,NA,NA
4013,"No Musical Affiliation",1.23,0.52,NA,NA
4014,"Indie Kid",1.97,NA,NA,NA
4015,"Metaller",1.5,NA,NA,NA
4016,"No Musical Affiliation",3.69,NA,NA,NA
4017,"No Musical Affiliation",0.5,NA,NA,NA
4022,"Indie Kid",2.18,NA,NA,NA
4023,"No Musical Affiliation",2.17,NA,NA,NA
4024,"No Musical Affiliation",1.58,NA,NA,NA
4025,"Crusty",2.88,NA,NA,NA
4030,"Metaller",2.52,NA,NA,NA
4032,"Metaller",2.2,NA,NA,NA
4033,"Metaller",1.73,NA,NA,NA
4034,"No Musical Affiliation",2.23,NA,NA,NA
4079,"Indie Kid",1.97,NA,NA,NA
4089,"No Musical Affiliation",1.2,0.67,0.91,-0.29
4090,"Indie Kid",2,NA,NA,NA
4092,"Metaller",1.91,NA,NA,NA
4093,"Indie Kid",0.81,NA,NA,NA
4095,"No Musical Affiliation",1.31,NA,NA,NA
4096,"No Musical Affiliation",0.38,NA,NA,NA
4101,"Indie Kid",1.97,NA,NA,NA
4104,"Crusty",0.38,NA,NA,NA
4105,"Crusty",2.11,0.76,0.85,-1.26
4106,"Metaller",3.2,NA,NA,NA
4107,"No Musical Affiliation",0.02,NA,NA,NA
4109,"No Musical Affiliation",2.56,NA,NA,NA
4110,"Indie Kid",2.02,NA,NA,NA
4111,"Crusty",2.3,NA,NA,NA
4114,"Crusty",2.02,NA,NA,NA
4147,"Metaller",2.05,NA,NA,NA
4148,"Crusty",1.7,NA,NA,NA
4149,"Crusty",1.61,NA,NA,NA
4150,"Crusty",0.73,NA,NA,NA
4151,"Metaller",2.5,1.64,NA,NA
4152,"Metaller",2.18,1.75,1.91,-0.27
4153,"Indie Kid",2.46,1.08,1.91,-0.55
4154,"Metaller",1.5,0.91,NA,NA
4155,"No Musical Affiliation",1.73,0.94,NA,NA
4156,"Indie Kid",1.44,NA,NA,NA
4157,"Indie Kid",1.64,0.32,0.52,-1.12
4158,"No Musical Affiliation",2.02,2.44,NA,NA
4159,"No Musical Affiliation",1.2,0.17,0.2,-1
4160,"No Musical Affiliation",0.38,0.02,NA,NA
4161,"Crusty",1.58,1.54,1.76,0.18
4162,"Crusty",1.67,0.5,NA,NA
4163,"Crusty",1,0.48,NA,NA
4164,"No Musical Affiliation",2.58,1.35,NA,NA
4165,"Metaller",2.82,2.61,3.02,0.2
4166,"Metaller",2.29,2.05,NA,NA
4167,"Crusty",1.14,NA,NA,NA
4168,"Crusty",1.64,0.76,NA,NA
4171,"Crusty",1.82,0.08,NA,NA
4172,"Crusty",3.32,2.91,3.02,-0.3
4193,"No Musical Affiliation",3.32,NA,NA,NA
4194,"Crusty",1.85,1,1.5,-0.35
4195,"Indie Kid",2.29,NA,NA,NA
4196,"Crusty",1.47,0.47,1.58,0.11
4197,"Metaller",2.08,0.7,0.67,-1.41
4198,"Crusty",2.2,NA,NA,NA
4199,"Metaller",1.06,1.45,NA,NA
4216,"Metaller",0.97,0.14,0.02,-0.95
4218,"Crusty",2,NA,NA,NA
4219,"Metaller",1.67,0.38,NA,NA
4220,"Crusty",2.94,NA,NA,NA
4221,"No Musical Affiliation",1.55,NA,NA,NA
4222,"Metaller",0.88,0.26,NA,NA
4223,"Metaller",1.35,2.32,NA,NA
4224,"Crusty",0.61,0.2,0.17,-0.44
4225,"Crusty",1,NA,NA,NA
4226,"No Musical Affiliation",1.52,2.72,0.52,-1
4234,"No Musical Affiliation",1,NA,NA,NA
4235,"No Musical Affiliation",1.76,0.41,0.88,-0.88
4236,"No Musical Affiliation",2.52,NA,NA,NA
4237,"Crusty",2,0.88,1.44,-0.56
4238,"No Musical Affiliation",2.63,NA,NA,NA
4239,"Crusty",0.73,0.85,NA,NA
4240,"Metaller",1.58,0.23,1.66,0.0799999999999999
4241,"No Musical Affiliation",0.58,NA,NA,NA
4245,"No Musical Affiliation",1.67,NA,NA,NA
4247,"No Musical Affiliation",1.47,NA,NA,NA
4249,"No Musical Affiliation",1.81,NA,NA,NA
4256,"Crusty",1.91,NA,NA,NA
4257,"No Musical Affiliation",1.06,NA,NA,NA
4259,"No Musical Affiliation",1.47,1.23,0.94,-0.53
4262,"Crusty",2.52,NA,NA,NA
4263,"Metaller",1.85,0.2,NA,NA
4264,"Crusty",3.44,NA,NA,NA
4265,"Metaller",1.55,1.32,1.19,-0.36
4266,"Metaller",2.29,2.7,NA,NA
4267,"Metaller",1.76,NA,NA,NA
4268,"No Musical Affiliation",1.9,NA,NA,NA
4269,"No Musical Affiliation",2.52,2.55,NA,NA
4271,"Crusty",2.52,NA,NA,NA
4274,"Crusty",2.82,0.17,NA,NA
4281,"Crusty",2.02,NA,NA,NA
4284,"Metaller",1.29,NA,NA,NA
4285,"No Musical Affiliation",1.26,NA,NA,NA
4287,"Metaller",0.94,NA,NA,NA
4291,"Indie Kid",2,1.13,0.53,-1.47
4292,"No Musical Affiliation",0.73,NA,NA,NA
4294,"Crusty",2.26,0.79,NA,NA
4295,"Crusty",2.23,NA,NA,NA
4297,"Crusty",2.35,NA,NA,NA
4298,"No Musical Affiliation",0.55,0.38,NA,NA
4301,"No Musical Affiliation",1.85,NA,NA,NA
4302,"Crusty",0.67,NA,NA,NA
4305,"Crusty",1.85,1,NA,NA
4306,"Crusty",1.23,0.2,NA,NA
4308,"No Musical Affiliation",2.35,NA,NA,NA
4309,"Crusty",1.35,NA,NA,NA
4310,"No Musical Affiliation",1.94,NA,NA,NA
4311,"No Musical Affiliation",1.55,NA,NA,NA
4312,"Crusty",1.29,NA,NA,NA
4313,"Indie Kid",2.17,NA,NA,NA
4314,"Metaller",1.91,NA,NA,NA
4333,"Indie Kid",2.88,NA,NA,NA
4334,"No Musical Affiliation",2.36,NA,NA,NA
4335,"Indie Kid",2.36,NA,NA,NA
4336,"No Musical Affiliation",2.2,NA,NA,NA
4349,"Crusty",2.17,0.47,0.38,-1.79
4351,"Crusty",0.52,NA,NA,NA
4352,"Crusty",0.32,NA,NA,NA
4353,"Metaller",1.52,0.55,NA,NA
4354,"Crusty",2,0.94,0.08,-1.92
4355,"Metaller",1.32,1.02,1.2,-0.12
4356,"Indie Kid",2.05,NA,NA,NA
4357,"Crusty",1.73,NA,NA,NA
4358,"No Musical Affiliation",1.94,NA,NA,NA
4359,"Metaller",1.81,NA,NA,NA
4360,"Indie Kid",0.9,0.64,NA,NA
4361,"No Musical Affiliation",1.58,0.67,NA,NA
4363,"Metaller",2.29,1.87,0.91,-1.38
4366,"No Musical Affiliation",2.57,NA,NA,NA
4370,"No Musical Affiliation",1.58,NA,NA,NA
4382,"Crusty",2.33,0.82,NA,NA
4383,"Crusty",3.15,NA,NA,NA
4384,"Indie Kid",2.29,NA,NA,NA
4385,"Crusty",0.82,NA,NA,NA
4386,"Crusty",1.93,NA,NA,NA
4387,"No Musical Affiliation",1.82,NA,NA,NA
4388,"No Musical Affiliation",1.96,NA,NA,NA
4389,"No Musical Affiliation",1.32,0.64,0.47,-0.85
4391,"No Musical Affiliation",1.02,NA,NA,NA
4392,"No Musical Affiliation",1.14,NA,NA,NA
4393,"Metaller",2.32,NA,NA,NA
4394,"Metaller",2.16,NA,NA,NA
4396,"No Musical Affiliation",2.42,1.7,NA,NA
4397,"No Musical Affiliation",1.14,NA,NA,NA
4398,"Indie Kid",1.55,0.79,1.76,0.21
4404,"Indie Kid",1.17,NA,NA,NA
4405,"No Musical Affiliation",1,0.58,0.32,-0.68
4410,"Crusty",1.05,0.11,NA,NA
4419,"No Musical Affiliation",1.38,NA,NA,NA
4428,"No Musical Affiliation",1.93,2.42,NA,NA
4430,"Metaller",2.73,NA,NA,NA
4435,"No Musical Affiliation",2.02,NA,NA,NA
4436,"Indie Kid",2.81,NA,NA,NA
4437,"No Musical Affiliation",2.47,NA,NA,NA
4439,"Metaller",1.35,NA,NA,NA
4440,"Crusty",2.08,NA,NA,NA
4441,"Crusty",2.5,NA,NA,NA
4442,"Indie Kid",2.45,NA,NA,NA
4443,"Metaller",2.17,NA,NA,NA
4444,"No Musical Affiliation",1.7,0,NA,NA
4445,"No Musical Affiliation",0.7,0.23,0.45,-0.25
4446,"Indie Kid",1.51,NA,NA,NA
4447,"Metaller",1.23,NA,NA,NA
4448,"Metaller",2.14,0.85,NA,NA
4452,"No Musical Affiliation",1.14,1.14,NA,NA
4453,"Metaller",0.96,NA,NA,NA
4454,"No Musical Affiliation",1.52,1.14,1.26,-0.26
4455,"No Musical Affiliation",0.52,NA,NA,NA
4456,"Metaller",1.56,NA,NA,NA
4459,"No Musical Affiliation",3.29,0.26,NA,NA
4464,"No Musical Affiliation",0.45,NA,NA,NA
4467,"Metaller",2.63,NA,NA,NA
4468,"Crusty",1.7,NA,NA,NA
4470,"Metaller",3.11,NA,NA,NA
4479,"Crusty",1.82,NA,NA,NA
4481,"Indie Kid",1.58,0.14,NA,NA
4482,"No Musical Affiliation",2.73,NA,NA,NA
4485,"No Musical Affiliation",1.5,1.14,NA,NA
4486,"No Musical Affiliation",1.78,1.02,NA,NA
4488,"No Musical Affiliation",2.02,NA,NA,NA
4507,"No Musical Affiliation",0.67,0.94,0.91,0.24
4509,"Crusty",1.41,0.55,NA,NA
4510,"Metaller",0.9,NA,NA,NA
4511,"Metaller",1.23,1.11,0.76,-0.47
4512,"No Musical Affiliation",2.7,NA,NA,NA
4514,"Indie Kid",1.97,NA,NA,NA
4515,"Crusty",0.84,NA,NA,NA
4516,"No Musical Affiliation",1.79,NA,NA,NA
4517,"No Musical Affiliation",2.84,NA,NA,NA
4518,"Crusty",2.02,NA,NA,NA
4519,"Metaller",1.64,0.7,NA,NA
4525,"No Musical Affiliation",1.08,NA,NA,NA
4533,"Indie Kid",2.97,NA,NA,NA
4552,"Crusty",0.94,NA,NA,NA
4553,"Indie Kid",2.97,1.94,NA,NA
4554,"Crusty",0.97,NA,NA,NA
4555,"No Musical Affiliation",1.47,NA,NA,NA
4559,"Metaller",2.61,NA,NA,NA
4563,"Crusty",1.73,0.2,0.91,-0.82
4564,"Metaller",3.38,3.44,3.41,0.0300000000000003
4569,"No Musical Affiliation",3.17,1,1.73,-1.44
4570,"No Musical Affiliation",2.2,0.91,NA,NA
4571,"Metaller",2.14,NA,NA,NA
4582,"Indie Kid",1.29,1.58,0.81,-0.48
4590,"Metaller",3.21,2.85,NA,NA
4597,"No Musical Affiliation",2.67,NA,NA,NA
4598,"Crusty",1.85,0.79,NA,NA
4601,"No Musical Affiliation",1.35,NA,NA,NA
4607,"No Musical Affiliation",2.14,0.76,NA,NA
4611,"No Musical Affiliation",1.24,0.56,NA,NA
4654,"No Musical Affiliation",2.02,1.78,2.55,0.53
4655,"No Musical Affiliation",2.32,NA,NA,NA
4663,"No Musical Affiliation",1.08,0.23,NA,NA
4666,"No Musical Affiliation",1.14,1.35,1.02,-0.12
4690,"Crusty",2.14,1.82,NA,NA
4692,"Metaller",2.88,NA,NA,NA
4693,"Indie Kid",1.35,0.17,0.44,-0.91
4694,"Crusty",1,1.7,NA,NA
4695,"Metaller",2.02,NA,NA,NA
4696,"No Musical Affiliation",0.64,1.32,NA,NA
4697,"Indie Kid",0.29,0.14,NA,NA
4698,"Indie Kid",1.73,0.94,NA,NA
4699,"No Musical Affiliation",1.82,1.52,NA,NA
4704,"Indie Kid",2.11,NA,NA,NA
4710,"No Musical Affiliation",1.23,NA,NA,NA
4711,"No Musical Affiliation",0.64,NA,NA,NA
4724,"Metaller",2.23,1.41,2.11,-0.12
4725,"No Musical Affiliation",2.44,0.32,NA,NA
4740,"No Musical Affiliation",1.17,0.58,NA,NA
4744,"Crusty",0.61,0.44,NA,NA
4749,"Metaller",0.52,NA,NA,NA
4756,"No Musical Affiliation",2.91,0.94,NA,NA
4758,"Indie Kid",2.61,1.44,NA,NA
4759,"No Musical Affiliation",1.47,NA,NA,NA
4760,"No Musical Affiliation",1.28,NA,NA,NA
4765,"Crusty",1.26,NA,NA,NA
